area_danji_id,danji_room_type_id,local1
17014,170981,서울특별시
17014,170982,서울특별시
17014,170983,서울특별시
17014,170984,서울특별시
17014,170985,서울특별시
17014,170986,서울특별시
17014,170987,서울특별시
17016,14057,서울특별시
17020,188599,서울특별시
17020,188600,서울특별시
17020,188601,서울특별시
17020,188602,서울특별시
17020,188603,서울특별시
17020,188604,서울특별시
17020,188605,서울특별시
17020,188606,서울특별시
17020,188607,서울특별시
17020,188608,서울특별시
17023,49859,서울특별시
17023,49860,서울특별시
17023,49861,서울특별시
17024,170993,서울특별시
17024,170994,서울특별시
17027,193793,서울특별시
17027,193794,서울특별시
17027,193795,서울특별시
17034,49868,서울특별시
17034,49869,서울특별시
17037,170995,서울특별시
17037,170996,서울특별시
17086,171006,서울특별시
17086,171007,서울특별시
17086,171008,서울특별시
17086,171009,서울특별시
17086,171010,서울특별시
17086,171011,서울특별시
17096,171013,서울특별시
17096,171014,서울특별시
17096,171015,서울특별시
17096,171016,서울특별시
17096,171017,서울특별시
17096,171018,서울특별시
17096,171019,서울특별시
17096,171020,서울특별시
17096,171021,서울특별시
17096,171022,서울특별시
17096,171023,서울특별시
17099,14088,서울특별시
17105,171024,서울특별시
17105,171025,서울특별시
17111,165051,서울특별시
17111,165052,서울특별시
17111,165053,서울특별시
17111,165054,서울특별시
17117,14089,서울특별시
17117,14090,서울특별시
17118,231954,서울특별시
17118,231955,서울특별시
17118,231956,서울특별시
17118,231957,서울특별시
17118,231958,서울특별시
17118,231959,서울특별시
17118,231960,서울특별시
17118,231961,서울특별시
17123,14092,서울특별시
17123,14093,서울특별시
17124,14095,서울특별시
17124,14096,서울특별시
17143,171049,서울특별시
17143,171050,서울특별시
17143,171051,서울특별시
17143,171052,서울특별시
17169,14105,서울특별시
17169,14107,서울특별시
17210,231987,서울특별시
17210,231988,서울특별시
17219,50138,서울특별시
17219,50139,서울특별시
17219,50140,서울특별시
17219,50141,서울특별시
17219,50142,서울특별시
17219,245486,서울특별시
17238,193796,서울특별시
17238,193797,서울특별시
17238,193798,서울특별시
17238,193799,서울특별시
17238,193800,서울특별시
17239,14129,서울특별시
17239,14130,서울특별시
17239,14131,서울특별시
17239,14132,서울특별시
17239,14134,서울특별시
17239,14135,서울특별시
17240,14139,서울특별시
17240,14140,서울특별시
17240,14141,서울특별시
17240,14143,서울특별시
17240,14144,서울특별시
17240,14145,서울특별시
17240,14146,서울특별시
17262,171090,서울특별시
17262,171091,서울특별시
17262,171092,서울특별시
17262,171093,서울특별시
17262,171095,서울특별시
17262,171096,서울특별시
17262,171097,서울특별시
17267,171098,서울특별시
17267,171099,서울특별시
17303,14181,서울특별시
17303,14182,서울특별시
17303,14183,서울특별시
17303,14184,서울특별시
17303,14185,서울특별시
17303,14187,서울특별시
17303,14188,서울특별시
17303,14189,서울특별시
17303,14190,서울특별시
17303,14191,서울특별시
17303,14192,서울특별시
17303,14193,서울특별시
17303,14195,서울특별시
17305,171118,서울특별시
17305,171119,서울특별시
17305,171120,서울특별시
17305,171121,서울특별시
17305,171123,서울특별시
17305,171124,서울특별시
17312,231997,서울특별시
17312,231998,서울특별시
17312,231999,서울특별시
17312,232000,서울특별시
17312,232001,서울특별시
17312,232002,서울특별시
17312,232004,서울특별시
17312,232005,서울특별시
17312,232006,서울특별시
17312,232007,서울특별시
17312,232008,서울특별시
17312,232009,서울특별시
17327,232011,서울특별시
17327,232012,서울특별시
17327,232013,서울특별시
17327,232014,서울특별시
17336,94387,서울특별시
17338,171133,서울특별시
17338,171134,서울특별시
17338,171135,서울특별시
17338,171136,서울특별시
17338,171137,서울특별시
17352,14221,서울특별시
17353,171146,서울특별시
17353,171147,서울특별시
17353,171148,서울특별시
17384,94390,서울특별시
17384,94391,서울특별시
17384,94392,서울특별시
17384,94393,서울특별시
17384,94394,서울특별시
17390,171167,서울특별시
17390,171168,서울특별시
17390,171169,서울특별시
17392,50408,서울특별시
17392,50409,서울특별시
17424,171170,서울특별시
17424,171171,서울특별시
17424,171172,서울특별시
17424,171173,서울특별시
17424,171174,서울특별시
17424,171175,서울특별시
17424,171176,서울특별시
17424,171177,서울특별시
17424,171178,서울특별시
17424,171179,서울특별시
17486,14275,서울특별시
17486,14277,서울특별시
17486,14279,서울특별시
17486,14280,서울특별시
17486,14282,서울특별시
17503,14285,서울특별시
17503,14288,서울특별시
17506,14294,서울특별시
17506,14295,서울특별시
17506,14296,서울특별시
17506,14297,서울특별시
17507,171186,서울특별시
17508,50714,서울특별시
17508,50715,서울특별시
17509,171189,서울특별시
17509,171190,서울특별시
17509,171191,서울특별시
17509,171192,서울특별시
17509,171193,서울특별시
17509,171194,서울특별시
17509,171195,서울특별시
17509,171196,서울특별시
17509,171197,서울특별시
17509,171198,서울특별시
17510,171199,서울특별시
17510,171200,서울특별시
17510,171201,서울특별시
17511,171203,서울특별시
17512,50719,서울특별시
17512,50720,서울특별시
17513,171205,서울특별시
17513,171206,서울특별시
17514,50721,서울특별시
17514,50722,서울특별시
17514,50724,서울특별시
17515,94440,서울특별시
17515,94441,서울특별시
17515,94442,서울특별시
17515,94444,서울특별시
17515,94445,서울특별시
17516,232047,서울특별시
17516,232048,서울특별시
17517,171207,서울특별시
17517,171208,서울특별시
17517,171209,서울특별시
17517,171210,서울특별시
17517,171212,서울특별시
17517,171213,서울특별시
17519,94447,서울특별시
17519,94448,서울특별시
17519,94449,서울특별시
17519,94451,서울특별시
17519,94452,서울특별시
17519,94455,서울특별시
17521,14306,서울특별시
17521,14307,서울특별시
17521,14308,서울특별시
17521,14309,서울특별시
17521,14311,서울특별시
17521,14312,서울특별시
17521,14313,서울특별시
17521,14314,서울특별시
17521,14315,서울특별시
17521,14316,서울특별시
17522,14317,서울특별시
17522,14319,서울특별시
17522,14320,서울특별시
17522,14321,서울특별시
17522,14322,서울특별시
17522,14323,서울특별시
17522,14324,서울특별시
17522,14325,서울특별시
17522,14326,서울특별시
17522,14327,서울특별시
17522,14328,서울특별시
17523,14331,서울특별시
17526,14335,서울특별시
17526,14338,서울특별시
17630,14563,서울특별시
17637,232050,서울특별시
17645,232051,서울특별시
17645,232052,서울특별시
17645,232054,서울특별시
17664,50858,서울특별시
17664,50860,서울특별시
17664,50862,서울특별시
17667,232059,서울특별시
17667,232060,서울특별시
17667,232061,서울특별시
17667,232062,서울특별시
17673,171278,서울특별시
17673,171279,서울특별시
17673,171280,서울특별시
17673,171281,서울특별시
17698,171297,서울특별시
17701,232063,서울특별시
17701,232064,서울특별시
17701,232065,서울특별시
17701,232066,서울특별시
17701,232067,서울특별시
17714,171300,서울특별시
17715,50963,서울특별시
17716,14617,서울특별시
17716,14618,서울특별시
17716,14619,서울특별시
17743,171343,서울특별시
17743,171344,서울특별시
17758,94504,서울특별시
17758,94505,서울특별시
17758,94507,서울특별시
17758,94508,서울특별시
17759,171345,서울특별시
17759,171346,서울특별시
17759,171347,서울특별시
17759,171348,서울특별시
17759,171349,서울특별시
17788,232073,서울특별시
17788,232074,서울특별시
17788,232075,서울특별시
17788,232076,서울특별시
17788,232077,서울특별시
17788,232078,서울특별시
17788,232079,서울특별시
17788,232080,서울특별시
17799,232081,서울특별시
17799,232082,서울특별시
17799,232083,서울특별시
17799,232084,서울특별시
17799,232085,서울특별시
17809,171350,서울특별시
17809,171352,서울특별시
17809,171353,서울특별시
17809,171355,서울특별시
17809,171356,서울특별시
17809,171357,서울특별시
17809,171358,서울특별시
17809,171359,서울특별시
17809,171360,서울특별시
17838,94528,서울특별시
17838,94529,서울특별시
17838,94530,서울특별시
17838,246628,서울특별시
17866,171368,서울특별시
17866,171369,서울특별시
17866,171371,서울특별시
17867,171372,서울특별시
17867,171373,서울특별시
17867,171374,서울특별시
17868,14680,서울특별시
17868,14682,서울특별시
17868,14684,서울특별시
17875,171385,서울특별시
17875,171386,서울특별시
17875,171387,서울특별시
17875,171388,서울특별시
17875,171389,서울특별시
17875,171390,서울특별시
17875,171391,서울특별시
17875,171392,서울특별시
17875,171394,서울특별시
17878,241531,서울특별시
17878,241532,서울특별시
17878,241534,서울특별시
17905,171407,서울특별시
17905,171409,서울특별시
17905,171410,서울특별시
17911,171412,서울특별시
17911,171413,서울특별시
17929,14705,서울특별시
17929,14706,서울특별시
17929,14708,서울특별시
17929,317981,서울특별시
17930,51424,서울특별시
17931,94540,서울특별시
17931,94544,서울특별시
17931,94546,서울특별시
17931,94547,서울특별시
17931,94548,서울특별시
17941,171414,서울특별시
17941,171415,서울특별시
17941,171417,서울특별시
17955,51449,서울특별시
17956,232100,서울특별시
17956,232101,서울특별시
17956,232102,서울특별시
17956,232103,서울특별시
17956,232105,서울특별시
17967,232106,서울특별시
17975,14714,서울특별시
17975,14715,서울특별시
17975,14717,서울특별시
17983,323223,서울특별시
17983,323224,서울특별시
17995,14735,서울특별시
17995,14736,서울특별시
17995,14737,서울특별시
17995,14738,서울특별시
17995,14739,서울특별시
17995,14740,서울특별시
17996,51496,서울특별시
17996,51498,서울특별시
17997,171439,서울특별시
17997,171441,서울특별시
17999,171442,서울특별시
17999,171443,서울특별시
17999,171444,서울특별시
