local1,area_danji_id,danji_room_type_id,splitlevel
인천광역시,67,22070,1
인천광역시,67,22071,1
인천광역시,69,21998,1
인천광역시,69,21999,1
인천광역시,69,22000,1
인천광역시,69,22001,1
인천광역시,70,22002,1
인천광역시,70,22003,1
인천광역시,70,22004,1
인천광역시,70,22005,1
인천광역시,70,22006,1
인천광역시,71,22007,1
인천광역시,71,22008,1
인천광역시,71,22010,1
인천광역시,71,22012,1
인천광역시,72,22013,1
인천광역시,72,22014,1
인천광역시,75,187784,1
인천광역시,88,21892,1
인천광역시,88,21893,1
인천광역시,126,21686,1
인천광역시,126,21687,1
인천광역시,126,21688,1
인천광역시,126,21689,1
인천광역시,126,21690,1
인천광역시,126,21691,1
인천광역시,131,22113,1
인천광역시,131,22114,1
인천광역시,140,21692,1
인천광역시,140,21693,1
인천광역시,140,21694,1
인천광역시,140,21695,1
인천광역시,140,21696,1
인천광역시,141,22060,1
인천광역시,141,22061,1
인천광역시,148,146624,1
인천광역시,148,146625,1
인천광역시,148,146626,1
인천광역시,148,146627,1
인천광역시,148,146628,1
인천광역시,149,25602,1
인천광역시,149,25603,1
인천광역시,165,23440,1
인천광역시,165,23441,1
인천광역시,165,23442,1
인천광역시,165,23443,1
인천광역시,165,23444,1
인천광역시,165,23445,1
인천광역시,165,23446,1
인천광역시,165,23447,1
인천광역시,165,23448,1
인천광역시,165,23449,1
인천광역시,165,23450,1
인천광역시,165,23451,1
인천광역시,165,23452,1
인천광역시,165,23453,1
인천광역시,165,23454,1
인천광역시,172,23027,1
인천광역시,172,23028,1
인천광역시,173,146632,1
인천광역시,173,146633,1
인천광역시,174,22353,1
인천광역시,174,22354,1
인천광역시,175,22355,1
인천광역시,175,22356,1
인천광역시,175,22357,1
인천광역시,183,23324,1
인천광역시,183,23325,1
인천광역시,183,23326,1
인천광역시,183,23327,1
인천광역시,188,23455,1
인천광역시,188,23456,1
인천광역시,189,22054,1
인천광역시,189,22055,1
인천광역시,189,245647,1
인천광역시,190,22072,1
인천광역시,190,22073,1
인천광역시,198,22186,1
인천광역시,198,22187,1
인천광역시,199,21977,1
인천광역시,199,21978,1
인천광역시,199,21979,1
인천광역시,209,22074,1
인천광역시,209,22075,1
인천광역시,221,25649,1
인천광역시,221,25650,1
인천광역시,222,25651,1
인천광역시,222,25652,1
인천광역시,222,25653,1
인천광역시,222,25654,1
인천광역시,232,21980,1
인천광역시,232,21981,1
인천광역시,232,21982,1
인천광역시,232,21983,1
인천광역시,235,22082,1
인천광역시,235,22083,1
인천광역시,238,21838,1
인천광역시,238,21839,1
인천광역시,238,21840,1
인천광역시,238,21841,1
인천광역시,255,21767,1
인천광역시,255,21768,1
인천광역시,256,22224,1
인천광역시,256,22225,1
인천광역시,257,22947,1
인천광역시,257,22948,1
인천광역시,264,25692,1
인천광역시,264,25693,1
인천광역시,264,25694,1
인천광역시,265,22916,1
인천광역시,265,22917,1
인천광역시,266,22078,1
인천광역시,266,22079,1
인천광역시,266,22080,1
인천광역시,274,22962,1
인천광역시,274,22963,1
인천광역시,274,22964,1
인천광역시,278,21804,1
인천광역시,295,21805,1
인천광역시,295,21806,1
인천광역시,295,21807,1
인천광역시,296,23221,1
인천광역시,297,21817,1
인천광역시,297,21818,1
인천광역시,297,21819,1
인천광역시,297,21820,1
인천광역시,297,21821,1
인천광역시,297,21822,1
인천광역시,297,21823,1
인천광역시,298,146652,1
인천광역시,298,146653,1
인천광역시,299,23176,1
인천광역시,299,23177,1
인천광역시,299,23178,1
인천광역시,303,21984,1
인천광역시,303,21985,1
인천광역시,303,21986,1
인천광역시,303,21987,1
인천광역시,312,25717,1
인천광역시,312,25718,1
인천광역시,312,25719,1
인천광역시,312,25720,1
인천광역시,312,25721,1
인천광역시,317,21846,1
인천광역시,327,23021,1
인천광역시,327,23022,1
인천광역시,327,23023,1
인천광역시,327,23024,1
인천광역시,327,23025,1
인천광역시,327,23026,1
인천광역시,328,21717,1
인천광역시,328,21718,1
인천광역시,340,22422,1
인천광역시,340,22423,1
인천광역시,383,22949,1
인천광역시,383,22950,1
인천광역시,383,22951,1
인천광역시,384,22030,1
인천광역시,384,22031,1
인천광역시,384,22032,1
인천광역시,395,228567,1
인천광역시,407,22226,1
인천광역시,407,22227,1
인천광역시,407,22228,1
인천광역시,407,22229,1
인천광역시,407,22230,1
인천광역시,492,21772,1
인천광역시,492,21773,1
인천광역시,492,21774,1
인천광역시,492,25485,1
인천광역시,510,22129,1
인천광역시,510,22130,1
인천광역시,526,21368,1
인천광역시,526,21369,1
인천광역시,526,21370,1
인천광역시,535,25806,1
인천광역시,535,25807,1
인천광역시,535,25808,1
인천광역시,535,25809,1
인천광역시,535,25810,1
인천광역시,535,25811,1
인천광역시,535,25812,1
인천광역시,535,25813,1
인천광역시,535,25814,1
인천광역시,535,25815,1
인천광역시,536,21903,1
인천광역시,536,21904,1
인천광역시,582,21810,1
인천광역시,583,21910,1
인천광역시,583,21911,1
인천광역시,583,21912,1
인천광역시,583,21913,1
인천광역시,620,22999,1
인천광역시,620,23000,1
인천광역시,620,23001,1
인천광역시,625,23106,1
인천광역시,625,23107,1
인천광역시,625,23108,1
인천광역시,625,23109,1
인천광역시,625,23110,1
인천광역시,625,23111,1
인천광역시,625,23112,1
인천광역시,626,22988,1
인천광역시,626,22989,1
인천광역시,627,22188,1
인천광역시,627,22189,1
인천광역시,627,22190,1
인천광역시,627,22191,1
인천광역시,627,22192,1
인천광역시,628,22131,1
인천광역시,628,22132,1
인천광역시,628,22133,1
인천광역시,628,22134,1
인천광역시,641,25879,1
인천광역시,641,25880,1
인천광역시,641,25881,1
인천광역시,660,21811,1
인천광역시,675,22120,1
인천광역시,675,22121,1
인천광역시,675,22122,1
인천광역시,675,22123,1
인천광역시,703,23010,1
인천광역시,703,23011,1
인천광역시,703,23012,1
인천광역시,718,22178,1
인천광역시,718,22179,1
인천광역시,735,21916,1
인천광역시,735,21917,1
인천광역시,735,21918,1
인천광역시,735,21919,1
인천광역시,735,21920,1
인천광역시,742,22308,1
인천광역시,742,22309,1
인천광역시,742,22310,1
인천광역시,742,22311,1
인천광역시,742,22312,1
인천광역시,742,22313,1
인천광역시,742,22314,1
인천광역시,742,22315,1
인천광역시,742,22316,1
인천광역시,742,22317,1
인천광역시,745,22319,1
인천광역시,745,22321,1
인천광역시,745,22323,1
인천광역시,745,22324,1
인천광역시,745,22325,1
인천광역시,745,22326,1
인천광역시,745,22327,1
인천광역시,745,22328,1
인천광역시,745,22329,1
인천광역시,747,22330,1
인천광역시,747,22331,1
인천광역시,747,22332,1
인천광역시,747,22333,1
인천광역시,747,22334,1
인천광역시,747,22335,1
인천광역시,749,146734,1
인천광역시,749,146735,1
인천광역시,749,146736,1
인천광역시,749,146737,1
인천광역시,749,146738,1
인천광역시,749,146739,1
인천광역시,749,146740,1
인천광역시,750,146741,1
인천광역시,750,146742,1
인천광역시,750,146743,1
인천광역시,751,146744,1
인천광역시,751,146745,1
인천광역시,751,146746,1
인천광역시,752,22349,1
인천광역시,752,22350,1
인천광역시,756,25910,1
인천광역시,756,25911,1
인천광역시,756,25912,1
인천광역시,757,21456,1
인천광역시,757,21457,1
인천광역시,757,21458,1
인천광역시,757,21459,1
인천광역시,760,22990,1
인천광역시,760,22991,1
인천광역시,760,22992,1
인천광역시,765,21812,1
인천광역시,784,23266,1
인천광역시,784,23267,1
인천광역시,784,23268,1
인천광역시,789,22980,1
인천광역시,789,22981,1
인천광역시,807,21813,1
인천광역시,808,22263,1
인천광역시,808,22264,1
인천광역시,808,22265,1
인천광역시,808,22266,1
인천광역시,808,22267,1
인천광역시,808,22268,1
인천광역시,808,22269,1
인천광역시,808,22270,1
인천광역시,808,22271,1
인천광역시,808,22272,1
인천광역시,809,22135,1
인천광역시,809,22136,1
인천광역시,809,22137,1
인천광역시,823,22995,1
인천광역시,823,22996,1
인천광역시,823,22997,1
인천광역시,823,22998,1
인천광역시,824,22058,1
인천광역시,824,22059,1
인천광역시,833,23457,1
인천광역시,833,23458,1
인천광역시,833,23459,1
